,Column1,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
653,952,SWEL'09: International Workshop on Ontologies and Semantic Web for E-Learning,20090.0,-,conferencia,e-learning,international workshop on games and software engineering,international i*workshop,international workshop on location and the web,international i*workshop,68.0,92.0,69.0,96.0,,B4,,B4,nulo,nao_tem,-
654,997,Workshop sobre Educação em Arquitetura de Computadores (WEAC 2016),20160.0,-,conferencia,-,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,68.0,78.0,69.0,83.0,,,,A4,nulo,nao_tem,-
655,1017,1o Simpósio de Geotecnologias no Pantanal,20060.0,-,conferencia,-,simposio de mecanica computacional,workshop de tecnologia adaptativa,simposio internacional de informatica educatica,simposio internacional de informatica educatica,67.0,67.0,59.0,59.0,,,,,nulo,nao_tem,-
656,0,"2nd Brazilian Symposium on Graphs, Algorithms, and Combinatorics",,-,conferencia,-,brazilian symposium on geoinformatics,european symposium on algorithms,algorithms and data structures symposium,european symposium on algorithms,67.0,75.0,65.0,84.0,,,,A3,nulo,nao_tem,-
657,6,3o Congresso Nacional de Iniciação Científica,20030.0,-,conferencia,-,congresso internacional de design da informacao,encontro nacional de inteligencia artificial e computacional,congresso internacional de design da informacao,congresso internacional de design da informacao,67.0,69.0,63.0,70.0,,,,,nulo,nao_tem,-
658,82,5 Congreso de Informática & Sistema de Sudamérica,20060.0,-,conferencia,-,congresso brasileiro de informatica em saude,congresso brasileiro de informatica em saude,congresso brasileiro de informatica em saude,congresso brasileiro de informatica em saude,67.0,70.0,70.0,73.0,,,,,nulo,nao_tem,-
659,278,1o. Simpósio Brasileiro de Pecuária de Precisão Aplicada à Bovinocultura de Corte,20140.0,-,conferencia,-,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,67.0,84.0,63.0,83.0,,B1,,B1,nulo,nao_tem,-
660,323,the 32nd Symposium,20190.0,-,conferencia,-,picture coding symposium,ieee annual symposium on foundations of computer science,ieee vlsi test symposium,annual symposium of the american medical informatics association,67.0,72.0,62.0,84.0,,,,A3,nulo,nao_tem,-
661,343,Workshop de Teses e Dissertações Defendidas,20010.0,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de gerencia e operacao de redes e servicos,workshop de gestao de identidades digitais,workshop de gerencia e operacao de redes e servicos,67.0,65.0,66.0,70.0,,,,,nulo,nao_tem,-
662,347,II Workshop de Educação em Arquiteturas de Computadores,20070.0,-,conferencia,-,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop de desafios da computacao aplicada a educacao,workshop sobre educacao em computacao,67.0,70.0,66.0,70.0,,,,,nulo,nao_tem,-
663,355,Simposio de Educación Matemática,20070.0,-,conferencia,-,simposio de mecanica computacional,simposio de mecanica computacional,simposio internacional de informatica educatica,simposio de mecanica computacional,67.0,66.0,68.0,76.0,,,,,nulo,nao_tem,-
664,411,Computational Science and Its Applications -- ICCSA 2015,20210.0,-,conferencia,its,international conference on computational science and its applications,international conference on computational science and its applications,international conference on computational science and its applications,international conference on computational science and its applications,67.0,86.0,75.0,88.0,,A3,,A3,all,international conference on computational science and its applications,A3
665,419,VII Brazilian Symposium on Games and Digital Entertainment,20080.0,-,conferencia,-,brazilian symposium on software engineering,digital heritage,brazilian symposium on multimedia and the web,brazilian symposium on bioinformatics,67.0,75.0,66.0,75.0,,,,,nulo,nao_tem,-
666,433,Conferência IADIS Ibero Americana em Computação Aplicada,20160.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,latin american high performance computing conference,simposio brasileiro de computacao aplicada a saude,67.0,69.0,63.0,64.0,,,,,ratio partial,conferencia latinoamericana de informatica,B2
667,512,Competição Latino Americana e Brasileira de Robótica,20170.0,-,conferencia,-,simposio latinoamericano de ingenieria de software,simposio brasileiro de robotica,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,67.0,74.0,65.0,65.0,,,,,nulo,nao_tem,-
668,579,Workshop em Engenharia de Requisitos,20030.0,-,conferencia,-,workshop de engenharia de software baseada em busca,workshop de engenharia de software baseada em busca,workshop on requirements engineering,workshop de engenharia de software baseada em busca,67.0,75.0,64.0,82.0,,,,B4,sort,workshop on requirements engineering,A4
669,619,Seminário de Iniciação Científica,20070.0,-,conferencia,-,seminario de computacao e mercado,seminario de computacao e mercado,seminario de computacao e mercado,seminario de computacao e mercado,67.0,67.0,64.0,64.0,,,,,nulo,nao_tem,-
670,643,VII CBRN - Congresso Brasileiro de Redes Neurais,20050.0,-,conferencia,-,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de pesquisadores em cibercultura,congresso brasileiro de automatica,67.0,76.0,71.0,81.0,,,,B4,nulo,nao_tem,-
