;id_lattes;nome;sexo;idade_academica;quantidade_producoes;producoes_por_idade;nota_qualis;precisao_nota_qualis;softwares_participacao;orientacoes;orientacoes_por_idade;instituicao_trabalho;estado_instituicao_trabalho;graduacao;ano_graduacao;posdoc;ano_posdoc;mestrado;ano_mestrado;doutorado;ano_doutorado;ATIVIDADES_DE_DIRECAO_E_ADMINISTRACAO;ATIVIDADES_DE_PESQUISA_E_DESENVOLVIMENTO;ATIVIDADES_DE_ENSINO;ATIVIDADES_DE_EXTENSAO_UNIVERSITARIA;ATIVIDADES_DE_PARTICIPACAO_EM_PROJETO;grande_area_conhecimento;area_conhecimento;subarea_conhecimento
75;7583826391876379;Edson Norberto Cáceres;M;47;54;1.148936170212766;19.325;0.7407407407407407;19;14;0.2978723404255319;Universidade Federal de Mato Grosso do Sul;MS;Licenciatura Em Matemática;1975;;2003;Matemática;1980;Engenharia de Sistemas e Computação;1992;0;0;1;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
76;7628786577802962;Eliane Martins;F;46;87;1.891304347826087;23.125;0.6206896551724138;16;14;0.30434782608695654;Universidade Estadual de Campinas;SP;Matemática Modalidade Informática;1976;;;Engenharia de Sistemas e Computação;1982;Informática;1992;3;1;2;1;14;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
77;7900515247220949;Christiane Neme Campos;F;28;18;0.6428571428571429;1.55;0.6111111111111112;0;9;0.32142857142857145;Universidade Estadual de Campinas;SP;Matemática Aplicada e Computacional;1994;;2009;;;Ciência da Computação;2006;0;1;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
78;8023085642019600;Daniela Luiza Catelan;F;17;4;0.23529411764705882;1.0;0.5;0;5;0.29411764705882354;Universidade Federal de Mato Grosso do Sul;MS;Engenharia da Computação;2005;;;Engenharia Elétrica;2009;Ciência da Computação;;0;0;0;0;0;ENGENHARIAS;Engenharia Elétrica;Engenharia da Computação
79;8024796498483512;Arthur João Catto;M;52;0;0.0;0.0;0.0;0;0;0.0;Instituto de Pesquisas Eldorado;SP;Engenharia Civil;1970;;;;;Ph D In Computer Science;1981;1;0;1;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
80;8269779905235226;Luiz Fernando Bittencourt;M;19;82;4.315789473684211;36.425000000000004;0.7439024390243902;7;7;0.3684210526315789;Universidade Estadual de Campinas;SP;Bacharelado Em Ciência da Computação;2003;;2012;Ciência da Computação;2006;Ciência da Computação;2010;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
81;8308517667746974;Sandro Rigo;M;25;37;1.48;15.975;0.7027027027027026;9;13;0.52;Universidade Estadual de Campinas;SP;Matemática Aplicada e Computacional;1997;;2016;Ciência da Computação;2000;Ciência da Computação;2004;9;1;12;0;18;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
82;8343699060914150;Sandra Eliza Fontes de Avila;F;16;39;2.4375;16.025;0.5897435897435898;0;6;0.375;Universidade Estadual de Campinas;SP;Ciência da Computação;2006;;2016;Ciências da Computação;2008;Ciências da Computação;2013;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Aprendizado de Máquina
83;8383625839694372;Cristiano Costa Argemon Vieira;M;20;9;0.45;3.975;0.7777777777777778;7;3;0.15;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2002;;;Ciência da Computação;2005;Ciência da Computação;2016;5;0;0;4;4;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
84;8386258458220683;Luciano Gonda;M;23;20;0.8695652173913043;2.0;0.5;0;8;0.34782608695652173;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado Em Ciência da Computação;1999;;;Ciência da Computação;2004;Engenharia Elétrica;2010;5;0;27;1;7;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Computação Paralela
