,producoes
125," silva, l. e. p.; silva, l. r. ; castro, a. l. s. ; guia, k. r. ; barros, k. o. s. ; cruz, a. c. ; gutierrez junior, j. l. b. ; silva, n. m. s. ; almeida, s. c. v. ; neves, a. p. . siane - sistema de informacao para ambiente nao escolar. 2018.                  patente:                 programa de computador.             numero do registro: br512018052228-9, data de registro:                      20/09/2018, titulo: ""siane - sistema de informacao  para ambiente nao escolar"" , instituicao de registro: inpi - instituto  nacional da propriedade industrial.                    "
126," vargas, j. c. ; silva, l. e. p. ; santos, b. a. ; riedner, d. d. t. ; silva, l. r. . alfabrinque. 2016.                  patente:                 programa de computador.             numero do registro: br512017000043-3, data de registro:                      01/09/2016, titulo: ""alfabrinque"" , instituicao de  registro: inpi - instituto nacional da propriedade industrial.                    "
127," silva, l. e. p.; silva, l. r. ; golin, a. l. m. m. ; barros, b. r. g. s. ; machado, m. o. ; neves, a. p.  ; neco, b. m. p. ; loio, g. x. ; souza, s. c. s. b. ; jimenez, l. f. s.  ; ribeiro, v. s. . ii hackathon ala voti. 2018. (concurso).  "
128,"3.745fontao, awdren2020fontao, awdren; paes, pedro ; ekwoge, oswald ; dos santos, rodrigo pereira  ; dias-neto, arilo claudio . evaluating processes to certify mobile  applications during developer relations activities. ieee access, v. 8, p. 1-1, 2020. citacoes:5 "
129," 3.745fontao, awdren2020fontao, awdren; paes, pedro ; ekwoge, oswald ; dos santos, rodrigo pereira  ; dias-neto, arilo claudio . evaluating processes to certify mobile  applications during developer relations activities. ieee access, v. 8, p. 1-1, 2020. citacoes:5 "
130," gomes, j.2020gomes, j. ; villanes, i. k. ; ascate, s. ; fontao, a ; andrade, e. n. ; dias-neto, arilo . scutma: selecting components for unit testing in mobile applications. journal of computer science, v. 1, p. 1, 2020.  "
131," 3.63fontao,  a. l.;fontao, awdren de lima;fontao, awdren de lima;fontao,  awdren;fontao, a;de lima fontao, awdren;fontao, a. l;fontao, awdren2019fontao, a. l.; santos, r. p.  ; dias-neto, arilo claudio . exploiting repositories in mobile software  ecosystems from a governance perspective. information systems frontiers, v. 2019, p. 143-161, 2019.  "
132," fontao, awdren2018fontao, awdren; abia, bruno ; wiese, igor ; estacio, bernardo ; quinta, marcelo  ; santos, rodrigo pereira dos ; dias-neto, arilo claudio . supporting  governance of mobile application developers from mining and analyzing  technical questions in stack overflow. journal of software engineering  research and development, v. 6, p. 8, 2018.  "
133," santos, r. p. ; fontao, a. l.  ; fernandes, j. c. . ecossistemas de software. in: cristiano maciel;  jose viterbo. (org.). (org.). computacao e sociedade: a tecnologia.  1ed.cuiaba: edufmt, 2020, v. 3, p. 198-223.  "
134," fontao, a. l.; wiese, i. s. ; santos, r. p.  ; dias-neto, arilo claudio . governanca de desenvolvedores em  ecossistemas de software. in: r. p. santos; a. l. martinotto; s. avila e  silva.. (org.). topicos em sistemas de informacao - minicursos do xiv  simposio brasileiro de sistemas de informacao. 14ed.porto alegre: sbc,  2018, v. 14, p. 76-104.  "
