,conferencias,qualis_conferencias,periodicos,qualis_periodicos
910,simposio brasileiro de pesquisa operacional,,NA,
911,NA,,NA,
912,NA,,NA,
913,NA,,NA,
914,NA,,NA,
915,NA,,NA,
916,NA,,NA,
917,NA,,NA,
918,NA,,NA,
919,NA,,NA,
920,NA,,NA,
921,NA,,NA,
922,NA,,letronica,
923,NA,,statistical methodology,
924,NA,,NA,
925,NA,,NA,
926,NA,,NA,
927,NA,,NA,
928,NA,,NA,
929,NA,,NA,
930,NA,,NA,
931,NA,,NA,
932,NA,,NA,
933,NA,,NA,
934,NA,,NA,
935,NA,,NA,
936,NA,,NA,
937,NA,,NA,
938,NA,,NA,
939,NA,,NA,
940,NA,,NA,
941,NA,,NA,
942,NA,,NA,
943,NA,,NA,
944,"ieee international conference on electronics, circuits and systems",,NA,
945,NA,,NA,
946,NA,,NA,
947,NA,,NA,
948,NA,,NA,
949,NA,,NA,
950,NA,,NA,
951,NA,,NA,
952,NA,,NA,
953,NA,,NA,
954,NA,,NA,
955,NA,,NA,
956,NA,,NA,
957,NA,,NA,
958,NA,,NA,
959,NA,,data,
960,NA,,data,
961,NA,,data,
962,NA,,data,
963,NA,,data,
964,NA,,data,
965,NA,,letronica,
966,NA,,top,
967,NA,,participacao,
968,NA,,participacao,
969,NA,,participacao,
970,NA,,participacao,
971,NA,,participacao,
972,NA,,participacao,
973,NA,,participacao,
974,NA,,participacao,
975,NA,,participacao,
976,NA,,participacao,
977,NA,,participacao,
978,NA,,participacao,
979,NA,,participacao,
980,NA,,participacao,
981,NA,,participacao,
982,NA,,participacao,
983,NA,,participacao,
984,NA,,participacao,
985,NA,,participacao,
986,NA,,participacao,
987,NA,,participacao,
988,NA,,participacao,
989,NA,,participacao,
990,NA,,participacao,
991,NA,,participacao,
992,NA,,participacao,
993,NA,,participacao,
994,NA,,participacao,
995,NA,,participacao,
996,NA,,participacao,
997,NA,,participacao,
998,NA,,participacao,
999,NA,,NA,
1000,NA,,letronica,
1001,NA,,NA,
1002,NA,,NA,
1003,NA,,NA,
1004,NA,,NA,
1005,NA,,NA,
1006,NA,,NA,
1007,NA,,NA,
1008,NA,,NA,
1009,ieee international system-on-chip conference,,NA,
1010,ieee international symposium on rapid system prototyping,,NA,
1011,NA,,NA,
1012,NA,,NA,
1013,NA,,NA,
1014,international conference on industry applications,,NA,
1015,NA,,NA,
1016,NA,,NA,
1017,NA,,NA,
1018,NA,,NA,
1019,NA,,NA,
1020,international symposium on computer architecture,,computer,
1021,NA,,NA,
1022,NA,,NA,
1023,simposio brasileiro de pesquisa operacional,,NA,
1024,NA,,NA,
1025,international symposium on computer architecture,,computer,
1026,NA,,NA,
1027,NA,,NA,
1028,NA,,NA,
1029,international workshop,,NA,
1030,NA,,NA,
1031,NA,,inteligencia artificial,
1032,NA,,NA,
1033,NA,,NA,
1034,NA,,NA,
1035,NA,,NA,
1036,NA,,NA,
1037,NA,,NA,
1038,NA,,NA,
1039,NA,,NA,
1040,NA,,NA,
1041,NA,,NA,
1042,NA,,NA,
1043,NA,,NA,
1044,international symposium on computer architecture,,computer,
1045,NA,,NA,
1046,NA,,NA,
1047,NA,,NA,
1048,NA,,NA,
1049,NA,,NA,
1050,NA,,NA,
1051,NA,,NA,
1052,NA,,NA,
1053,NA,,NA,
1054,NA,,NA,
1055,NA,,NA,
1056,NA,,NA,
